,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,PorchSF
441,90.0,RL,92.0,12108.0,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4.0,4.0,1955.0,1955.0,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,ALQ,1307.0,GasA,TA,N,FuseF,0.0,1440.0,0.0,0.0,2.0,0.0,4.0,2.0,Fa,8.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,Y,0.0,NA,NA,0.0,9.0,2008.0,WD,Normal,2880.0,0.0
500,160.0,RM,21.0,1890.0,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1973.0,1973.0,HdBoard,BrkFace,285.0,TA,TA,CBlock,TA,TA,No,BLQ,316.0,GasA,TA,Y,SBrkr,0.0,1218.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,7.0,Typ,0.0,NA,Detchd,1973.0,Unf,1.0,264.0,TA,Y,144.0,NA,NA,0.0,5.0,2007.0,WD,Normal,1890.0,28.0
316,60.0,RL,94.0,13005.0,IR1,Lvl,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7.0,7.0,1980.0,1980.0,CemntBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,153.0,GasA,TA,Y,SBrkr,0.0,2353.0,1.0,0.0,2.0,1.0,4.0,1.0,Ex,10.0,Typ,1.0,TA,Attchd,1983.0,RFn,2.0,484.0,TA,Y,288.0,GdPrv,NA,0.0,8.0,2009.0,WD,Normal,3198.0,195.0
1393,190.0,RM,60.0,10800.0,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,6.0,7.0,1905.0,2000.0,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,482.0,GasA,Ex,N,SBrkr,0.0,1912.0,0.0,0.0,2.0,0.0,3.0,2.0,TA,7.0,Typ,1.0,TA,Detchd,2003.0,Unf,2.0,672.0,TA,Y,0.0,NA,NA,0.0,4.0,2008.0,WD,Normal,2394.0,237.0
1359,20.0,RL,129.0,16737.0,Reg,Lvl,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9.0,5.0,2004.0,2005.0,VinylSd,BrkFace,66.0,Gd,TA,PConc,Ex,TA,Av,GLQ,533.0,GasA,Ex,Y,SBrkr,0.0,1980.0,1.0,0.0,2.0,0.0,3.0,1.0,Ex,8.0,Typ,1.0,Gd,Attchd,2004.0,Fin,3.0,770.0,TA,Y,194.0,NA,NA,0.0,9.0,2006.0,WD,Normal,3960.0,45.0
1205,20.0,RL,90.0,14684.0,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7.0,7.0,1990.0,1991.0,HdBoard,BrkFace,234.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,1496.0,GasA,Gd,Y,SBrkr,0.0,2196.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,TA,Attchd,1990.0,RFn,3.0,701.0,TA,Y,84.0,NA,NA,0.0,6.0,2009.0,WD,Normal,4354.0,70.0
804,20.0,RL,75.0,9000.0,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1954.0,1954.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,124.0,GasA,TA,Y,SBrkr,0.0,1128.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Min1,0.0,NA,Attchd,1954.0,Unf,1.0,286.0,TA,Y,0.0,GdWo,NA,0.0,6.0,2006.0,WD,Family,2064.0,0.0
1337,30.0,RM,153.0,4118.0,IR1,Bnk,Corner,Mod,OldTown,Feedr,Norm,1Fam,1Story,4.0,4.0,1941.0,1950.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,693.0,Grav,Fa,N,FuseA,0.0,693.0,0.0,0.0,1.0,0.0,2.0,1.0,Fa,4.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,N,0.0,NA,NA,0.0,3.0,2006.0,WD,Normal,1386.0,20.0
731,80.0,RL,73.0,9590.0,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,SLvl,7.0,5.0,2003.0,2003.0,VinylSd,BrkFace,442.0,Gd,TA,PConc,Ex,TA,Av,GLQ,82.0,GasA,Ex,Y,SBrkr,0.0,1146.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,2003.0,Fin,2.0,438.0,TA,Y,160.0,NA,NA,0.0,5.0,2007.0,WD,Normal,2014.0,22.0
362,85.0,RL,64.0,7301.0,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7.0,5.0,2003.0,2003.0,HdBoard,BrkFace,500.0,Gd,TA,Slab,NA,NA,NA,NA,0.0,GasA,Ex,Y,SBrkr,0.0,1922.0,0.0,0.0,3.0,0.0,4.0,1.0,Gd,7.0,Typ,1.0,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,Y,0.0,NA,NA,0.0,7.0,2009.0,ConLD,Normal,1922.0,177.0
822,60.0,RL,70.0,12394.0,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7.0,5.0,2003.0,2003.0,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,847.0,GasA,Ex,Y,SBrkr,0.0,1733.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,BuiltIn,2003.0,Fin,2.0,433.0,TA,Y,100.0,NA,NA,0.0,10.0,2007.0,WD,Family,2580.0,48.0
125,190.0,RM,60.0,6780.0,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6.0,8.0,1935.0,1982.0,Wd Sdng,None,0.0,TA,Fa,CBlock,TA,TA,Av,GLQ,30.0,GasA,Gd,N,SBrkr,234.0,754.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,N,53.0,NA,NA,0.0,6.0,2006.0,WD,Normal,1040.0,0.0
180,160.0,FV,70.0,2117.0,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6.0,5.0,2000.0,2000.0,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,320.0,GasA,Ex,Y,SBrkr,0.0,1525.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,5.0,Typ,1.0,TA,Detchd,2000.0,Unf,2.0,440.0,TA,Y,0.0,NA,NA,0.0,6.0,2007.0,WD,Normal,2281.0,0.0
294,20.0,RL,80.0,9600.0,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1953.0,1953.0,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,131.0,GasA,TA,Y,SBrkr,0.0,1644.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,7.0,Typ,2.0,Gd,Attchd,1953.0,Fin,2.0,418.0,TA,Y,110.0,NA,NA,0.0,10.0,2009.0,WD,Normal,3060.0,0.0
1408,70.0,RM,60.0,7740.0,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4.0,7.0,1910.0,1950.0,VinylSd,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,622.0,GasA,Gd,Y,SBrkr,0.0,1363.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Detchd,1966.0,Unf,2.0,528.0,TA,Y,0.0,NA,NA,0.0,6.0,2010.0,WD,Normal,1985.0,168.0
1210,60.0,RL,70.0,11218.0,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6.0,5.0,1992.0,1992.0,Wd Sdng,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,1055.0,GasA,Ex,Y,SBrkr,0.0,1845.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1992.0,RFn,2.0,462.0,TA,Y,635.0,GdPrv,Shed,400.0,5.0,2010.0,WD,Normal,2900.0,104.0
301,60.0,RL,66.0,16226.0,IR3,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8.0,5.0,1998.0,1999.0,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,747.0,GasA,Ex,Y,SBrkr,0.0,2452.0,0.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,TA,BuiltIn,1998.0,Fin,2.0,683.0,TA,Y,208.0,NA,NA,0.0,5.0,2007.0,WD,Normal,3480.0,50.0
1323,30.0,RL,50.0,5330.0,Reg,HLS,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4.0,7.0,1940.0,1950.0,VinylSd,None,0.0,Fa,TA,CBlock,TA,TA,No,LwQ,140.0,GasA,Gd,Y,SBrkr,0.0,708.0,0.0,0.0,1.0,0.0,2.0,1.0,Fa,5.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,Y,164.0,NA,NA,0.0,12.0,2009.0,WD,Normal,1128.0,0.0
1105,60.0,RL,98.0,12256.0,IR1,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1994.0,1995.0,HdBoard,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Av,GLQ,431.0,GasA,Ex,Y,SBrkr,0.0,2622.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,9.0,Typ,2.0,TA,Attchd,1994.0,RFn,2.0,712.0,TA,Y,186.0,NA,NA,0.0,4.0,2010.0,WD,Normal,4085.0,32.0
809,75.0,RM,90.0,8100.0,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,5.0,5.0,1898.0,1965.0,AsbShng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,849.0,GasA,TA,N,FuseA,0.0,2138.0,0.0,0.0,2.0,0.0,2.0,3.0,TA,11.0,Typ,0.0,NA,Detchd,1910.0,Unf,2.0,360.0,Po,N,40.0,MnPrv,NA,0.0,11.0,2009.0,WD,Normal,2987.0,156.0
465,120.0,RM,70.0,3072.0,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7.0,5.0,2004.0,2004.0,VinylSd,BrkFace,18.0,Gd,TA,PConc,Gd,TA,No,Unf,1375.0,GasA,Ex,Y,SBrkr,0.0,1414.0,0.0,0.0,2.0,0.0,2.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,2004.0,Fin,2.0,398.0,TA,Y,144.0,NA,NA,0.0,5.0,2006.0,WD,Normal,2789.0,20.0
907,50.0,RL,86.0,11500.0,IR1,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7.0,7.0,1936.0,1987.0,BrkFace,None,0.0,Gd,TA,CBlock,Gd,TA,No,Rec,794.0,GasA,Gd,Y,SBrkr,0.0,2057.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1936.0,Fin,1.0,180.0,TA,Y,0.0,NA,NA,0.0,6.0,2006.0,WD,Normal,3074.0,322.0
241,30.0,RM,40.0,3880.0,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5.0,9.0,1945.0,1997.0,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,357.0,GasA,Gd,Y,SBrkr,0.0,866.0,0.0,0.0,1.0,0.0,2.0,1.0,Gd,4.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,Y,58.0,NA,NA,0.0,8.0,2007.0,WD,Normal,1552.0,42.0
89,20.0,RL,60.0,8070.0,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4.0,5.0,1994.0,1995.0,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,402.0,GasA,Ex,Y,SBrkr,0.0,990.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,NA,NA,1979.0,NA,0.0,0.0,NA,Y,0.0,NA,NA,0.0,8.0,2007.0,WD,Normal,1980.0,0.0
1107,60.0,RL,168.0,23257.0,IR3,HLS,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7.0,5.0,2006.0,2006.0,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,No,Unf,868.0,GasA,Ex,Y,SBrkr,0.0,2021.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,2006.0,RFn,2.0,422.0,TA,Y,0.0,NA,NA,0.0,9.0,2006.0,New,Partial,2889.0,100.0
992,60.0,RL,80.0,9760.0,Reg,Lvl,Inside,Mod,NAmes,Norm,Norm,1Fam,2Story,6.0,8.0,1964.0,1993.0,Wd Sdng,BrkFace,340.0,TA,TA,CBlock,TA,TA,Gd,BLQ,169.0,GasA,Gd,Y,SBrkr,0.0,1851.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Fa,Attchd,1964.0,RFn,2.0,440.0,TA,Y,239.0,MnWw,NA,0.0,7.0,2007.0,WD,Normal,2673.0,42.0
699,120.0,FV,59.0,4282.0,IR2,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7.0,5.0,2004.0,2004.0,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,1375.0,GasA,Ex,Y,SBrkr,0.0,1391.0,0.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,0.0,NA,Attchd,2004.0,RFn,2.0,530.0,TA,Y,156.0,NA,NA,0.0,7.0,2008.0,WD,Normal,2782.0,158.0
615,85.0,RL,80.0,8800.0,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6.0,7.0,1963.0,1963.0,MetalSd,BrkFace,156.0,TA,Gd,PConc,TA,TA,Gd,GLQ,173.0,GasA,Ex,Y,SBrkr,0.0,1054.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,0.0,NA,Attchd,1963.0,RFn,2.0,480.0,TA,Y,120.0,MnPrv,NA,0.0,5.0,2010.0,WD,Abnorml,1990.0,0.0
1353,50.0,RL,56.0,14720.0,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8.0,5.0,1995.0,1996.0,VinylSd,BrkFace,579.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1217.0,GasA,Ex,Y,SBrkr,0.0,3238.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Ex,Attchd,1996.0,Fin,3.0,666.0,TA,Y,283.0,NA,NA,0.0,3.0,2010.0,WD,Normal,5271.0,86.0
874,50.0,RM,52.0,5720.0,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5.0,6.0,1941.0,1950.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,676.0,GasA,Ex,Y,SBrkr,0.0,1131.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1941.0,Unf,1.0,200.0,TA,Y,26.0,NA,NA,0.0,8.0,2009.0,WD,Abnorml,1807.0,0.0
